lat,lon,nadmorska_vyska_m,teplota_max_C,srazky_mm,vitr_max_kmh,slunce_MJm2,riziko_pozaru
0.5,0.6153846153846156,0.6651982378854626,0.14814814814814814,0.12765957446808512,0.8275862068965517,0.12303485987696515,0
0.0,0.846153846153846,0.11233480176211452,0.28703703703703703,0.03073286052009457,0.5862068965517241,0.11927546138072455,0
0.5,0.6923076923076923,0.40969162995594716,0.22453703703703703,0.06146572104018914,0.7844827586206896,0.13841421736158577,0
0.0,0.7692307692307694,0.023127753303964743,0.32638888888888884,0.054373522458628844,0.6724137931034482,0.11175666438824335,0
1.0,0.3076923076923077,0.33810572687224677,0.19907407407407407,0.07328605200945627,0.6408045977011494,0.1551606288448394,0
0.25,0.46153846153846145,0.38215859030837,0.21990740740740738,0.10638297872340427,0.8764367816091952,0.09945317840054682,0
1.0,0.46153846153846145,0.1299559471365639,0.2175925925925926,0.13711583924349882,0.7040229885057471,0.13943950786056053,0
0.0,0.07692307692307687,0.3259911894273128,0.23148148148148145,0.06146572104018914,0.7270114942528736,0.08714969241285031,0
1.0,0.38461538461538436,0.10132158590308371,0.22453703703703703,0.10165484633569741,0.8448275862068966,0.14935064935064934,0
0.75,0.0,0.4405286343612335,0.3287037037037037,0.0,0.5057471264367815,0.10150375939849623,0
1.0,0.38461538461538436,0.10132158590308371,0.35416666666666663,0.0047281323877068565,0.3620689655172413,0.09979494190020506,0
0.5,0.5384615384615381,0.2588105726872247,0.3310185185185185,0.0047281323877068565,0.5172413793103449,0.12542720437457283,0
0.0,0.9230769230769231,0.05286343612334804,0.37962962962962965,0.0023640661938534283,0.38505747126436773,0.16609706083390297,0
0.75,0.46153846153846145,0.026431718061673992,0.37962962962962965,0.0023640661938534283,0.543103448275862,0.11073137388926863,0
1.0,0.15384615384615397,0.4592511013215859,0.2638888888888889,0.0047281323877068565,0.5316091954022988,0.11825017088174984,0
0.5,0.46153846153846145,0.40198237885462557,0.3333333333333333,0.0023640661938534283,0.43103448275862066,0.1291866028708134,0
0.5,0.38461538461538436,0.38766519823788553,0.32175925925925924,0.0,0.49425287356321834,0.12850307587149695,0
0.0,0.9999999999999998,0.8744493392070485,0.25462962962962965,0.018912529550827426,0.35344827586206895,0.12987012987012986,0
0.0,0.5384615384615381,0.314977973568282,0.4305555555555555,0.0,0.5603448275862069,0.29801777170198224,0
0.5,0.3076923076923077,0.368942731277533,0.34259259259259256,0.018912529550827426,0.5833333333333334,0.1582365003417635,0
1.0,0.9999999999999998,0.06938325991189426,0.3773148148148148,0.026004728132387713,0.5919540229885056,0.09056732740943269,0
0.5,0.07692307692307687,0.3502202643171806,0.31481481481481477,0.0,0.5344827586206896,0.13499658236500345,0
1.0,0.46153846153846145,0.1299559471365639,0.33564814814814814,0.0047281323877068565,0.3793103448275862,0.07313738892686261,0
0.5,0.6153846153846156,0.6651982378854626,0.24768518518518517,0.009456264775413713,0.5459770114942528,0.17464114832535887,0
0.0,0.6153846153846156,0.06497797356828194,0.45370370370370366,0.0023640661938534283,0.5603448275862069,0.2778537252221463,0
0.75,0.9999999999999998,0.05947136563876654,0.3958333333333333,0.014184397163120569,0.557471264367816,0.1066302118933698,0
0.0,0.6923076923076923,0.031938325991189426,0.4305555555555555,0.0,0.6063218390804597,0.25495557074504444,0
0.75,0.3076923076923077,0.2555066079295154,0.35185185185185186,0.0,0.5948275862068965,0.12781954887218044,0
0.75,0.23076923076923062,0.20704845814977973,0.35185185185185186,0.0,0.6063218390804597,0.1486671223513329,0
1.0,0.07692307692307687,0.38325991189427316,0.32638888888888884,0.0023640661938534283,0.6005747126436781,0.08270676691729324,0
0.25,0.46153846153846145,0.38215859030837,0.36111111111111105,0.009456264775413713,0.3505747126436781,0.22522214627477788,0
0.5,0.9999999999999998,0.8876651982378856,0.25231481481481477,0.03309692671394799,0.3448275862068966,0.1712235133287765,0
1.0,0.846153846153846,0.003303964757709249,0.38425925925925924,0.018912529550827426,0.57183908045977,0.14354066985645936,0
1.0,0.7692307692307694,0.09911894273127753,0.36111111111111105,0.018912529550827426,0.5977011494252874,0.17053998632946005,0
0.0,0.7692307692307694,0.023127753303964743,0.41435185185185186,0.0023640661938534283,0.3908045977011494,0.19583048530416952,0
0.75,0.38461538461538436,0.058370044052863446,0.3680555555555556,0.0047281323877068565,0.5344827586206896,0.11893369788106632,0
0.0,0.23076923076923062,0.2169603524229075,0.38657407407407407,0.0,0.307471264367816,0.23820915926179087,0
0.5,0.846153846153846,0.39867841409691634,0.32638888888888884,0.0023640661938534283,0.557471264367816,0.16473000683527,0
0.5,0.6923076923076923,0.40969162995594716,0.349537037037037,0.011820330969267141,0.32183908045977005,0.15755297334244706,0
0.0,0.846153846153846,0.11233480176211452,0.3958333333333333,0.0047281323877068565,0.45977011494252873,0.16848940533151058,0
0.5,0.9230769230769231,0.11674008810572689,0.35185185185185186,0.026004728132387713,0.4137931034482758,0.09466848940533153,0
0.25,0.0,0.20154185022026433,0.4097222222222222,0.0,0.27873563218390807,0.15208475734791527,0
0.0,0.07692307692307687,0.3259911894273128,0.3912037037037037,0.0,0.24425287356321837,0.2850307587149693,0
0.0,0.46153846153846145,0.4350220264317181,0.38425925925925924,0.0,0.48275862068965514,0.3123718386876282,0
0.0,0.38461538461538436,0.8204845814977975,0.2986111111111111,0.0,0.4252873563218391,0.3127136021872864,0
1.0,0.9230769230769231,0.0,0.37962962962962965,0.03782505910165485,0.5488505747126436,0.11004784688995216,0
0.75,0.6923076923076923,0.5121145374449338,0.24768518518518517,0.03309692671394799,0.38505747126436773,0.08407382091592619,0
0.25,0.6923076923076923,0.039647577092511016,0.4212962962962963,0.0,0.382183908045977,0.190704032809296,0
0.75,0.5384615384615381,0.07488986784140966,0.36111111111111105,0.0023640661938534283,0.4655172413793103,0.09603554340396447,0
0.75,0.6153846153846156,0.08039647577092512,0.3402777777777778,0.007092198581560284,0.4109195402298851,0.07142857142857142,0
1.0,0.23076923076923062,0.17070484581497797,0.35416666666666663,0.0023640661938534283,0.36494252873563215,0.11825017088174984,0
0.25,0.23076923076923062,0.7610132158590308,0.2708333333333333,0.0,0.5747126436781609,0.26418318523581685,0
0.25,0.7692307692307694,0.20264317180616742,0.37962962962962965,0.0,0.48275862068965514,0.15037593984962405,0
0.25,0.6153846153846156,0.21365638766519823,0.38657407407407407,0.0,0.47413793103448276,0.24914559125085445,0
0.0,0.15384615384615397,0.14427312775330398,0.4074074074074074,0.0,0.2844827586206896,0.25768967874231036,0
0.25,0.3076923076923077,0.301762114537445,0.38425925925925924,0.0,0.33045977011494254,0.2761449077238551,0
1.0,0.3076923076923077,0.33810572687224677,0.3287037037037037,0.0,0.367816091954023,0.09569377990430622,0
0.25,0.846153846153846,0.07819383259911894,0.3726851851851851,0.0047281323877068565,0.27873563218390807,0.14388243335611756,0
0.0,0.0,0.32158590308370044,0.40046296296296297,0.0,0.21551724137931036,0.29665071770334933,0
0.25,0.38461538461538436,0.3094713656387666,0.38657407407407407,0.0,0.32183908045977005,0.25461380724538624,0
0.75,0.846153846153846,0.3226872246696036,0.349537037037037,0.014184397163120569,0.4109195402298851,0.14559125085440877,0
0.25,0.9230769230769231,0.4669603524229075,0.2962962962962963,0.026004728132387713,0.3591954022988506,0.08646616541353383,0
1.0,0.6923076923076923,0.6662995594713657,0.25,0.0047281323877068565,0.5632183908045976,0.13943950786056053,0
0.25,0.5384615384615381,0.36123348017621143,0.3472222222222222,0.0023640661938534283,0.5316091954022988,0.24675324675324678,0
0.25,0.07692307692307687,0.42511013215859034,0.375,0.0,0.307471264367816,0.1637047163362953,0
1.0,0.0,0.18942731277533043,0.35416666666666663,0.0,0.5517241379310345,0.10594668489405333,0
0.5,0.0,0.27422907488986786,0.3680555555555556,0.0023640661938534283,0.4224137931034483,0.11961722488038277,0
1.0,0.5384615384615381,0.28303964757709255,0.2708333333333333,0.054373522458628844,0.4367816091954023,0.06596035543403964,0
0.25,0.15384615384615397,1.0000000000000002,0.23148148148148145,0.007092198581560284,0.3045977011494253,0.15789473684210525,0
0.0,0.3076923076923077,0.7455947136563876,0.28703703703703703,0.0,0.49712643678160917,0.28127136021872867,0
0.75,0.5384615384615381,0.07488986784140966,0.3032407407407407,0.0,0.18390804597701146,0.4210526315789474,0
0.75,0.846153846153846,0.3226872246696036,0.24305555555555555,0.0,0.1810344827586207,0.43472317156527684,0
0.75,0.3076923076923077,0.2555066079295154,0.2708333333333333,0.0,0.18390804597701146,0.42891319207108686,0
1.0,0.38461538461538436,0.10132158590308371,0.27546296296296297,0.0,0.1264367816091954,0.4213943950786056,0
0.75,0.6153846153846156,0.08039647577092512,0.3032407407407407,0.0,0.16091954022988506,0.42925495557074506,0
0.75,0.6923076923076923,0.5121145374449338,0.26157407407407407,0.0,0.1810344827586207,0.443609022556391,0
0.75,0.38461538461538436,0.058370044052863446,0.27546296296296297,0.0,0.18390804597701146,0.4268626110731374,0
0.0,0.6153846153846156,0.06497797356828194,0.28935185185185186,0.0,0.1867816091954023,0.44736842105263164,0
0.0,0.46153846153846145,0.4350220264317181,0.25462962962962965,0.0,0.08333333333333334,0.469583048530417,0
0.75,0.46153846153846145,0.026431718061673992,0.28935185185185186,0.0,0.11206896551724135,0.42241968557758036,0
0.0,0.07692307692307687,0.3259911894273128,0.30787037037037035,0.0,0.307471264367816,0.4576213260423787,0
0.0,0.5384615384615381,0.314977973568282,0.28935185185185186,0.0,0.12068965517241378,0.45283663704716337,0
1.0,0.6923076923076923,0.6662995594713657,0.20833333333333331,0.0,0.17816091954022986,0.42891319207108686,0
0.0,0.38461538461538436,0.8204845814977975,0.24305555555555555,0.0,0.1752873563218391,0.4702665755297335,0
0.75,0.23076923076923062,0.20704845814977973,0.2685185185185185,0.0,0.11781609195402301,0.4340396445659604,0
0.0,0.846153846153846,0.11233480176211452,0.3310185185185185,0.0,0.31896551724137934,0.44429254955570746,0
0.0,0.6923076923076923,0.031938325991189426,0.2986111111111111,0.0,0.2614942528735632,0.44668489405331513,0
0.25,0.07692307692307687,0.42511013215859034,0.31712962962962965,0.0,0.14080459770114942,0.4545454545454546,0
0.25,0.9230769230769231,0.4669603524229075,0.28703703703703703,0.0,0.2471264367816092,0.4439507860560492,0
0.25,0.846153846153846,0.07819383259911894,0.31712962962962965,0.0,0.32183908045977005,0.4460013670539987,0
0.25,0.15384615384615397,1.0000000000000002,0.24537037037037035,0.0,0.12931034482758622,0.46445659603554346,0
0.25,0.7692307692307694,0.20264317180616742,0.29398148148148145,0.0,0.33333333333333326,0.44292549555707456,0
0.25,0.23076923076923062,0.7610132158590308,0.23148148148148145,0.0,0.2040229885057471,0.46377306903622695,0
1.0,0.846153846153846,0.003303964757709249,0.28703703703703703,0.0,0.17816091954022986,0.413192071086808,0
0.25,0.6923076923076923,0.039647577092511016,0.32638888888888884,0.0,0.1982758620689655,0.44429254955570746,0
0.25,0.3076923076923077,0.301762114537445,0.2685185185185185,0.0,0.08908045977011494,0.4470266575529734,0
0.25,0.6153846153846156,0.21365638766519823,0.31481481481481477,0.0,0.15804597701149428,0.4463431305536569,0
0.25,0.5384615384615381,0.36123348017621143,0.28935185185185186,0.0,0.14367816091954025,0.45249487354750517,0
0.0,0.0,0.32158590308370044,0.31712962962962965,0.0,0.2729885057471264,0.4600136705399864,0
0.25,0.38461538461538436,0.3094713656387666,0.28009259259259256,0.0,0.16379310344827583,0.4477101845522899,0
0.25,0.46153846153846145,0.38215859030837,0.29398148148148145,0.0,0.19540229885057467,0.450786056049214,0
1.0,0.9230769230769231,0.0,0.2824074074074074,0.0,0.16379310344827583,0.417634996582365,0
1.0,0.9999999999999998,0.06938325991189426,0.27314814814814814,0.0,0.1867816091954023,0.4183185235816815,0
0.5,0.0,0.27422907488986786,0.31712962962962965,0.0,0.2614942528735632,0.4490772385509228,0
